type,total_unique_colors,total_lines,total_contours,most_frequent_pixel_perceived_luminance
1,18497,0,1,235.01699999999997
1,242,79,4,6.0
1,84246,1690,1,250.146
1,127115,769,1,132.164
1,398427,2128,1,233.794
1,63167,847,1,121.30199999999999
1,30768,10,1,255.0
1,196738,3061,117,3.6899999999999995
1,133011,87,25,4.228
1,740782,13928,1466,3.288
1,285130,4051,1,210.329
1,274023,1983,11,242.929
1,273765,4090,112,32.123999999999995
1,175896,1412,32,216.72899999999998
1,195005,5258,1,238.0
1,267347,5343,66,232.66499999999996
1,149734,1778,35,226.975
1,28675,68,18,236.16400000000002
1,191551,1633,73,2.9290000000000003
1,146487,3156,1,3.288
2,179049,3,1,219.13099999999997
2,256776,34,1,240.843
2,67497,28,1,246.131
2,57289,14,1,234.327
2,61688,48,1,246.832
2,75647,16,2,233.72899999999998
2,148727,20,1,242.772
2,110083,0,1,235.32699999999997
2,2,468,1,255.0
2,256,102,1,253.99999999999997
2,124051,22,1,237.071
2,224607,36,2,236.039
2,273365,52,1,237.85399999999998
2,147745,0,1,244.772
2,186165,28,1,239.082
2,293055,66,1,236.85399999999998
2,269057,221,2,237.85399999999998
2,310350,15,2,236.85399999999998
2,274869,11,1,236.85399999999998
2,310203,36,1,236.85399999999998
3,21767,253,1,244.942
3,175887,36,1,255.0
3,69432,39,1,202.959
3,35962,16,1,202.197
3,50578,0,1,247.07100000000003
3,58799,0,1,246.071
3,135771,57,1,243.082
3,168505,13,1,253.772
3,121226,0,1,246.017
3,111134,0,1,245.017
3,140054,0,1,245.017
3,105936,19,1,239.843
3,107981,14,1,239.843
3,338452,55,1,237.85399999999998
3,52117,8495,1,236.81099999999998
3,33163,4144,1,235.056
3,50278,4949,9,239.05599999999998
3,41406,3768,1,247.974
3,40976,432,1,237.05599999999998
3,9160,347,1,199.94199999999998
4,24828,276,1,255.0
4,18072,0,1,237.0
4,3357,0,1,90.816
4,5147,318,1,255.0
4,50527,188,11,91.57699999999998
4,25219,19,1,151.893
4,787,601,1,38.309999999999995
4,29613,0,1,153.905
4,5759,0,1,255.0
4,244,0,1,0.0
4,106139,0,1,143.807
4,5752,0,1,246.0
4,94483,82,1,255.0
4,42115,0,1,255.0
4,1828,0,1,255.0
4,6787,189,1,180.522
4,333,0,1,255.0
4,17,2949,19,0.0
4,1230,47,1,247.512
